Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Spain,"63,332","331,911","1,218,425","126,901","145,606",25,"43,397,491",10,19,123
United Kingdom,"267,124","1,896,937","7,730,367","24,960","81,309",25,"60,244,834",83,59,123
Jamaica,"5,175","20,523","68,282","19,248","30,519",25,"2,682,469",116,125,123
Bosnia and Herzegovina,"12,942","46,007","164,657","5,693","23,178",25,"3,915,238",200,144,123
Togo,"1,679","10,564","58,386","3,302","15,410",25,"6,238,572",220,176,123
Bhutan,192,446,"2,205","17,350","13,754",25,"637,013",126,186,123
Burundi,72,170,550,"6,329","9,659",25,"7,858,791",195,211,123
Uruguay,"3,138","15,535","51,084","26,474","109,406",24,"3,325,727",75,43,131
Isle of Man,680,"3,660","12,513","18,286","73,166",24,"78,357",121,65,131
Croatia,"15,768","69,133","254,509","21,458","40,046",24,"455,149",100,104,131
United States Virgin Islands,538,"2,198","7,679","8,408","31,331",24,"111,408",172,122,131
Turkey,"51,516","413,627","1,418,360","7,075","28,685",24,"72,969,723",188,133,131
The former Yugoslav Republic of Macedonia,"4,388","28,180","98,714","13,247","24,947",24,"2,033,655",140,142,131
Honduras,"5,408","44,008","167,649","10,664","18,634",24,"683,411",151,160,131
Kuwait,"2,889","21,924","63,456","22,305","117,890",23,"2,700",95,37,138
Ireland,"50,270","144,424","560,122","27,152","98,279",23,"4,143,294",72,47,138
Montserrat,53,265,"1,119","20,909","55,360",23,"5,628",103,83,138
Tajikistan,527,"1,412","4,324","21,710","21,967",23,"6,550,213",99,148,138
Iraq,"15,933","64,838","208,918","19,446","21,309",23,"27,995,984",114,149,138
Gabon,512,"2,620","6,950","3,669","13,987",23,"1,290,693",218,185,138
Saint Vincent and the Grenadines,295,"1,027","3,675","19,217","99,322",22,"119,137",117,46,144
Brazil,"345,584","3,089,078","11,630,197","50,141","72,561",22,"186,830,759",48,67,144
Cayman Islands,273,"1,739","5,164","22,494","53,721",22,"45,591",92,86,144
Paraguay,"7,086","43,076","128,705","17,669","42,590",22,"5,904,342",123,97,144
Uzbekistan,"10,327","31,121","105,937","32,085","35,134",22,"26,593,123",64,110,144
Indonesia,"157,469","1,193,964","4,972,769","8,702","16,189",22,"226,063,044",171,170,144
San Marino,184,904,"2,348","17,117","75,626",21,"30,214",127,64,150
Latvia,"7,886","26,441","94,775","50,528","66,791",21,"2,301,793",47,72,150
Slovakia,"18,721","64,168","228,742","26,062","63,511",21,"5,386,995",78,74,150
Anguilla,137,438,"1,177","13,443","37,219",21,"12,256",139,107,150
Cyprus,"4,905","38,180","125,981","13,687","35,932",21,"836,321",138,108,150
Japan,"90,289","334,210","1,378,201","124,088","149,879",20,"127,896,740",12,17,155
Panama,"5,216","63,547","214,782","29,706","106,894",20,"3,231,502",67,45,155
India,"245,297","2,580,327","10,625,959","47,134","46,639",20,"1,134,403,141",52,95,155
Costa Rica,"10,407","140,559","518,962","20,353","39,496",20,"4,327,228",108,105,155
Poland,"84,431","231,810","802,497","47,366","110,149",19,"38,195,558",51,41,159
Finland,"34,343","92,821","297,099","52,019","109,557",19,"5,246,004",44,42,159
Austria,"39,061","138,633","481,704","17,433","57,010",19,"8,291,979",124,81,159
Czech Republic,"29,637","82,929","288,780","25,820","51,530",19,"10,191,762",80,89,159
Belarus,"12,435","47,246","149,220","32,977","42,149",19,"9,795,287",63,98,159
Kyrgyzstan,"2,531","7,805","24,146","36,298","35,358",19,"5,203,547",61,109,159
Ecuador,"26,113","209,500","751,269","25,177","26,455",19,"13,060,993",82,136,159
Rwanda,457,"1,509","3,791","7,991","16,308",19,"9,233,793",178,167,159
Germany,"250,273","921,945","3,549,422","28,097","95,453",18,"82,652,369",69,50,167
Malaysia,"35,063","547,728","1,757,957","41,682","90,375",18,"25,652,985",54,52,167
Lithuania,"9,229","26,698","89,907","72,297","84,193",18,"3,425,077",28,56,167
Saint Pierre and Miquelon,41,128,351,"22,445","73,134",18,"6,346",94,66,167
Nicaragua,"2,212","25,474","93,191","10,318","26,094",18,"5,462,539",153,137,167
Georgia,"4,238","17,104","45,854","20,850","20,667",18,"4,473,409",105,153,167
Congo,348,"1,569","3,368","5,502","15,820",18,"3,609,851",202,172,167
Hungary,"30,415","127,535","400,710","72,698","139,776",17,"10,086,387",27,21,174
Gibraltar,28,882,"2,872","86,145","122,397",17,291,23,33,174
British Virgin Islands,205,"1,240","4,514","23,778","68,321",17,"22,016",85,71,174
Netherlands Antilles,538,"4,805","15,095","13,206","52,215",17,"186,392",141,88,174
Serbia,"20,260","99,728","337,846","14,640","43,447",17,"9,863,026",133,96,174
Albania,"6,319","29,346","100,033","20,850","31,146",17,"3,153,731",105,123,174
China,"543,861","1,580,084","5,820,184","49,603","184,504",16,"1,312,978,855",49,6,180
Israel,"8,361","116,405","430,668","26,572","124,823",16,"6,692,037",73,30,180
Belgium,"39,885","119,362","388,432","19,406","109,362",16,"10,398,049",115,44,180
Palestine,"1,202","18,736","65,873","23,110","86,281",16,"3,762,005",86,54,180
New Caledonia,367,"1,237","3,808","26,290","49,131",16,"234,185",76,92,180
Nepal,"15,174","72,522","271,086","31,224","33,324",16,"27,093,656",65,115,180
Portugal,"41,986","193,471","680,840","63,665","133,423",15,"10,528,226",35,26,186
Slovenia,"10,111","28,271","92,385","31,017","75,630",15,"1,999,425",66,63,186
Grenada,389,"1,203","3,817","20,359","71,146",15,"105,237",107,69,186
Estonia,"5,408","16,731","48,553","55,205","69,309",15,"1,344,312",41,70,186
Faroe Islands,388,979,"2,536","23,034","51,062",15,"48,205",88,90,186
Guam,502,"3,263","9,303","7,123","48,742",15,"16,857",185,93,186
Belize,"1,194","4,897","15,855","25,837","34,982",15,"275,546",79,111,186
Norway,"48,854","143,550","458,619","122,173","137,963",14,"4,638,836",14,23,193
Montenegro,"1,722","8,403","26,189","9,207","62,552",14,"607,969",162,76,193
Bulgaria,"11,871","64,309","202,209","43,182","52,736",14,"7,744,591",53,87,193
Mongolia,940,"3,165","7,489","27,420","41,955",14,"2,580,704",71,99,193
Sao Tome and Principe,54,113,404,"7,354","15,483",14,"152,622",184,175,193
Sweden,"30,783","61,115","220,522","113,067","138,178",13,"9,038,049",18,22,198
Russia,"248,081","1,455,872","4,569,438","66,441","65,793",13,"143,953,092",31,73,198
Northern Mariana Islands,130,445,"1,268","18,395","53,725",13,"80,258",120,85,198
Lao People's Democratic Republic,"3,537","12,635","32,341","36,568","40,485",13,"566,391",59,102,198
Brunei Darussalam,"1,158","8,575","31,415","21,379","33,361",13,"373,831",101,114,198
Bangladesh,"18,378","74,520","278,751","26,513","25,894",13,"15,328,112",74,138,198
Cambodia,"6,203","51,342","148,894","20,905","20,406",13,"13,955,507",104,154,198
Hong Kong,"1,526","122,374","557,728","141,902","188,679",12,"7,057,418",8,5,205
Switzerland,"26,486","131,098","420,653","83,400","159,690",12,"7,424,389",24,14,205
Luxembourg,"2,687","14,826","47,017","92,322","147,966",12,"456,613",22,18,205
Netherlands,"56,692","379,250","1,474,915","81,748","132,169",12,"1,632,769",26,28,205
Malta,724,"10,576","32,994","22,813","129,200",12,"402,617",90,29,205
Bermuda,149,"1,243","4,324","38,721","122,287",12,"64,174",58,34,205
Aruba,309,"3,593","10,006","14,699","87,127",12,"102,897",132,53,205
Bahrain,910,"24,633","63,635","19,704","79,204",12,"724,788",112,60,205
Republic of Moldova,"4,949","16,708","51,634","68,605","72,435",12,"3,876,661",30,68,205
Ukraine,"96,906","399,247","1,319,510","51,000","48,677",12,"46,917,544",46,94,205
Armenia,"4,963","35,583","125,514","27,606","30,418",12,"3,017,661",70,126,205
Singapore,"1,044","89,239","374,617","190,611","211,695",11,"4,327,468",1,1,216
Romania,"33,670","125,372","399,284","115,970","137,524",11,"21,627,557",17,24,216
Trinidad and Tobago,"3,038","21,628","66,548","53,458","82,163",11,"1,323,722",42,57,216
Dominica,161,392,"1,342","49,393","62,165",11,"67,827",50,77,216
United Arab Emirates,"11,146","270,819","788,298","117,708","189,734",10,"4,104,291",15,3,220
Denmark,"37,192","126,575","449,586","128,912","167,013",10,"5,416,945",9,12,220
Andorra,214,"2,472","5,919","117,095","124,803",10,"73,483",16,31,220
Taiwan,"22,767","424,937","1,619,086","40,669","93,251",10,0,55,51,220
Samoa,10,12,23,"18,044","17,256",10,"183,845",122,165,220
Maldives,47,"1,509","3,531","11,039","13,579",10,"295,297",150,188,220
Reunion,986,"2,258","7,211","155,072","179,685",9,"785,159",5,7,226
"Korea, Republic of","15,651","50,315","169,280","151,614","178,609",9,"47,869,837",6,8,226
Holy See (Vatican City),6,462,"1,509","55,275","120,743",9,783,40,35,226
Thailand,"125,616","734,990","2,443,649","164,178","191,548",8,"63,002,911",4,2,229
Liechtenstein,228,"1,050","3,237","112,399","143,455",8,"34,598",19,20,229
Viet Nam,"118,257","593,704","1,940,503","56,449","63,315",8,"85,028,643",39,75,229
Iceland,"1,926","6,924","17,206","168,589","189,425",7,"295,732",2,4,232
Qatar,"2,186","36,293","120,619","64,074","118,569",7,"796,186",33,36,232
Åland Islands,219,385,"1,044","72,234","95,708",7,0,29,49,232
Mauritius,"1,886","12,511","37,342","14,497","37,427",7,"1,241,173",136,106,232
Macau,35,"14,566","66,897","143,662","173,198",5,"47,309",7,9,236
Jersey,506,"2,992","10,112","166,408","168,100",4,0,3,11,237
Barbados,777,"5,244","13,401","57,394","123,464",4,"291,933",38,32,237
